DMModule,submodel,Tables,url,Table,Abbreviation,Description,TableModule,Activity code
Common data,Company and Sites,TABCUR.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABCUR.htm,TABCUR,TCU,Currency table,Supervisor,
Common data,Company and Sites,TABCOUNTRY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABCOUNTRY.htm,TABCOUNTRY,TCY,Country table,Supervisor,
Common data,Item,ITMBPC.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMBPC.htm,ITMBPC,ITU,Customer product,Common Data,
Common data,Item,ATABDIV.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ATABDIV.htm,ATABDIV,ADI,Miscellaneous tables,Supervisor,
Common data,Item,ITMCATEG.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMCATEG.htm,ITMCATEG,ITG,Product category,Common Data,
Common data,Item,ITMMASTER.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMMASTER.htm,ITMMASTER,ITM,Products,Common Data,
Common data,Item,ITMABCWRK.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMABCWRK.htm,ITMABCWRK,ITK,ABC Class calculation,Stock,
Common data,Item,ITMMVT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMMVT.htm,ITMMVT,ITV,Product-site totals,Common Data,
Common data,Item,CONTTEMPL.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CONTTEMPL.htm,CONTTEMPL,COT,Service contract template,Common Data,
Common data,Item,TABLINCFG.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABLINCFG.htm,TABLINCFG,TLP,Product lines,Common Data,
Common data,Item,ATABDIV.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ATABDIV.htm,ATABDIV,ADI,Miscellaneous tables,Supervisor,
Common data,Item,ITMFACILIT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMFACILIT.htm,ITMFACILIT,ITF,Products-sites,Common Data,
Common data,Item,TABREOPOL.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABREOPOL.htm,TABREOPOL,TRP,Reorder policies table,Common Data,
Common data,Item,SEASON.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/SEASON.htm,SEASON,SES,Trend profiles,Common Data,
Common data,Item,AUTILIS.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/AUTILIS.htm,AUTILIS,AUS,Users,Supervisor,
Common data,Item,ITMMVTHIS.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMMVTHIS.htm,ITMMVTHIS,ITH,Total product - site history,Common Data,
Common data,Item,ITMBOM.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMBOM.htm,ITMBOM,ITB,Products - BOMs,Common Data,
Common data,Item,ITMCOST.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ITMCOST.htm,ITMCOST,ITC,Products-costs,Common Data,
